Opetusjakson koodi;Kurssin koodi ja nimi;Opetusryhmä;Viikonpäivä;Alkukellonaika;Loppukellonaika;ei käytössä;Salin koodi;Arvioitu osallistujamäärä;Salikoko;Opettajan T-numero;Lista viikoista joina opetusta järjestetään;Lista kurssin opinto-ohjelmista;Lisätietoja;Orderi;Vastuuyksikön koodi;Ilm.alkamispäivä;Ilm.loppumispäivä;Max.ilmoittautumismäärä;Lukujärjestysvastaavan T-numero;Vastuuopettajien T-numerot pilkkueroteltuna;Luennoitsijoiden T-numerot (Oodi=4) pilkkueroteltuna;Harjoitusten pitäjien T-numerot pilkkueroteltuna;Virkailijoiden T-numerot pilkkueroteltuna;Suoritusmerkinnän antajien T-numerot pilkkueroteltuna;Opetusmuoto;Henkilöiden nimet;Opetuskieli;CUR id;Arviointikohteen tyyppi;Toteutuksen tyyppi;Toteutuksen nimen lisätieto (FI);Toteutuksen nimen lisätieto (EN);Toteutuksen nimen lisätieto (SV);

5;ARTS-A0631 Art, Life and Entrepreneurship 1;L01;Tue;13:15;17:00;;R999/VT1;0;;T665005;43-48;ARTS-TAITE-valinnaiset~~~~;;;T32000;;;50;;;;;;;1;T665005=Kaira, Johannes;englanti;aalto-CUR-194246-3111659;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;ARTS-A0632 Art, Life and Entrepreneurship 2;L01;Tue;13:15;17:00;;R999/VT1;0;;T665005;16,18-21;ARTS-TAITE-valinnaiset~~~~;;;T32000;;;50;;;;;;;1;T665005=Kaira, Johannes;englanti;aalto-CUR-194245-3111658;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;CS-A0100 Tietokone työvälineenä;I01;Mon;08:00;08:15;;R999/Online;0;;;36;INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|INF2~SCI1~2~1~Informaatioverkostot|INF2_SV~SCI1~2~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_SV_y2~SCI1~2~6~|SCI3163_TEPSY_y1~SCI1~1~6~|SCI3163_TEPSY_y2~SCI1~2~6~|SCI3163_TEPSY_y3~SCI1~3~6~|TIK1~SCI1~1~4~Tietotekniikka|TIK2~SCI1~2~4~Tietotekniikka;;;T31300;;;0;;T822275;;;;;14;T822275=Suomela, Jukka;suomi;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;CS-A1110 Ohjelmointi 1;L01;Mon;16:15;18:00;;R001/Y202a,R037/2005;1013;;;36;BSc-Tech_DataSci~SCI10~1~1~Data Science|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;1;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
3;CS-A1110 Ohjelmointi 1;L01;Mon;14:15;17:00;;R001/Y205;1013;;;50;BSc-Tech_DataSci~SCI10~1~1~Data Science|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;1;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
3;CS-A1110 Ohjelmointi 1;XXA01;Thu;08:15;20:00;;R001/Y427a;0;;;36-48;BSc-Tech_DataSci~SCI10~1~1~Data Science|CHEMkandi 1 vsk Chemical ~CHEM10~1~1~CHEM enkkukandi|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;11;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
